model,input_file,summary_file,thoughts_file,seconds,tokens
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_05.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_05_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_05_thoughts.txt,134.82,1963
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_06.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_06_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_06_thoughts.txt,919.66,17751
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_07.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_07_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_07_thoughts.txt,994.79,19892
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_08.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_08_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_08_thoughts.txt,589.06,10689
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_09.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_09_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_09_thoughts.txt,256.87,4693
phi-4-reasoning,split_chatconversations\crystalclear_chats_10.v3_10.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_10_summary.txt,output\stage-1\phi-4-reasoning\crystalclear_chats_10.v3_10_thoughts.txt,338.4,6301
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_01.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_01_summary.txt,,82.51,3714
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_02.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_02_summary.txt,,84.44,2052
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_03.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_03_summary.txt,,50.57,3497
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_04.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_04_summary.txt,,52.03,171
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_05.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_05_summary.txt,,44.25,263
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_06.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_06_summary.txt,,84.84,2462
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_07.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_07_summary.txt,,99.6,3051
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_08.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_08_summary.txt,,55.9,1029
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_09.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_09_summary.txt,,62.6,1405
gpt-oss-20b,split_chatconversations\crystalclear_chats_10.v3_10.txt,output\stage-1\gpt-oss-20b\crystalclear_chats_10.v3_10_summary.txt,,80.05,2226
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_01.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_01_summary.txt,,915.53,822
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_02.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_02_summary.txt,,3496.75,747
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_03.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_03_summary.txt,,776.57,1012
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_04.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_04_summary.txt,,7999.51,2290
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_05.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_05_summary.txt,,1777.88,187
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_06.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_06_summary.txt,,5812.96,1721
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_07.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_07_summary.txt,,2516.79,415
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_08.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_08_summary.txt,,3960.58,995
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_09.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_09_summary.txt,,3246.64,654
google_gemma-3-27b-it-qat,split_chatconversations\crystalclear_chats_10.v3_10.txt,output\stage-1\google_gemma-3-27b-it-qat\crystalclear_chats_10.v3_10_summary.txt,,3538.13,771
